,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
504,The Man from Earth,(2007),87 min,7.9,****,"187,060",%^%^%^,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
505,Letters from Iwo Jima,(2006),141 min,7.9,89        ,"162,671",$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
506,Life of Pi,(2012),127 min,7.9,79        ,"624,825",$124.99M,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
507,Fantastic Mr. Fox,(2009),87 min,7.9,83        ,"229,488",$21.00M,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
508,Bin-jip,(2004),88 min,7.9,72        ,"55,206",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
509,C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"32,931",%^%^%^,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
510,Vozvrashchenie,(2003),110 min,7.9,82        ,"45,560",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
511,Iron Man,(2008),126 min,7.9,79        ,"1,045,519",$318.41M,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
512,Shaun of the Dead,(2004),99 min,7.9,76        ,"553,800",$13.54M,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
513,Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"69,146",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
514,Gegen die Wand,(2004),121 min,7.9,78        ,"54,401",%^%^%^,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
515,Mystic River,(2003),138 min,7.9,84        ,"454,044",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
516,Harry Potter and the Prisoner of Azkaban,(2004),142 min,7.9,82        ,"625,000",$249.36M,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
517,Ying xiong,(2002),120 min,7.9,85        ,"181,267",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
518,Hable con ella,(2002),112 min,7.9,86        ,"112,379",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.
519,No Man's Land,(I) (2001),98 min,7.9,84        ,"47,200",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
520,The Bourne Identity,(2002),119 min,7.9,68        ,"544,086",$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
521,Nueve reinas,(2000),114 min,7.9,80        ,"53,025",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
522,Children of Men,(2006),109 min,7.9,84        ,"497,359",$35.55M,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
523,Wo hu cang long,(2000),120 min,7.9,94        ,"268,558",$128.08M,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
524,Almost Famous,(2000),122 min,7.9,90        ,"275,179",$32.53M,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
525,Dancer in the Dark,(2000),140 min,7.9,61        ,"109,790",$4.18M,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
526,Mulholland Dr.,(2001),147 min,7.9,85        ,"352,601",$7.22M,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
527,Shrek,(2001),90 min,7.9,84        ,"669,288",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
528,Toy Story 2,(1999),92 min,7.9,88        ,"575,781",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
529,Titanic,(1997),194 min,7.9,75        ,"1,156,036",$659.33M,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
530,Knockin' on Heaven's Door,(1997),87 min,7.9,****,"30,605",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
531,Boogie Nights,(1997),155 min,7.9,85        ,"263,935",$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
532,Mimi wo sumaseba,(1995),111 min,7.9,75        ,"62,308",%^%^%^,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
533,Kôkaku Kidôtai,(1995),83 min,7.9,76        ,"142,300",$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
534,Once Were Warriors,(1994),102 min,7.9,77        ,"34,389",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
535,True Romance,(1993),119 min,7.9,59        ,"225,980",$12.28M,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
536,Trois couleurs: Bleu,(1993),94 min,7.9,85        ,"101,703",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.
537,The Nightmare Before Christmas,(1993),76 min,7.9,82        ,"331,131",$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
538,Carlito's Way,(1993),144 min,7.9,65        ,"217,311",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
539,Bound by Honor,(1993),180 min,7.9,47        ,"31,442",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
540,Edward Scissorhands,(1990),105 min,7.9,74        ,"485,524",$56.36M,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
541,My Left Foot: The Story of Christy Brown,(1989),103 min,7.9,97        ,"74,368",$14.74M,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
542,Do the Right Thing,(1989),120 min,7.9,93        ,"101,920",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
543,The Untouchables,(1987),119 min,7.9,79        ,"307,983",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
544,Sacrifice,(1986),149 min,7.9,****,"28,315",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
545,Hannah and Her Sisters,(1986),107 min,7.9,90        ,"71,621",$40.08M,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
546,Brazil,(1985),132 min,7.9,84        ,"200,325",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
547,This Is Spinal Tap,(1984),82 min,7.9,92        ,"139,583",$4.74M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
548,A Christmas Story,(1983),93 min,7.9,77        ,"147,340",$20.61M,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
549,E.T. the Extra-Terrestrial,(1982),115 min,7.9,91        ,"405,409",$435.11M,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
550,Kagemusha,(1980),180 min,7.9,84        ,"35,713",%^%^%^,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
551,The Blues Brothers,(1980),133 min,7.9,60        ,"198,585",$57.23M,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
552,Manhattan,(1979),96 min,7.9,83        ,"140,104",$45.70M,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
553,All the President's Men,(1976),138 min,7.9,84        ,"115,352",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
554,Amarcord,(1973),123 min,7.9,****,"43,657",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
555,Harold and Maude,(1971),91 min,7.9,62        ,"77,415",%^%^%^,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
556,Patton,(1970),172 min,7.9,91        ,"102,078",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
557,Il conformista,(1970),113 min,7.9,100        ,"30,558",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
558,Le cercle rouge,(1970),140 min,7.9,91        ,"25,521",$0.37M,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
559,The Wild Bunch,(1969),145 min,7.9,97        ,"84,646",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
560,The Lion in Winter,(1968),134 min,7.9,****,"31,574",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
561,In the Heat of the Night,(1967),110 min,7.9,75        ,"76,395",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
562,In Cold Blood,(1967),134 min,7.9,89        ,"26,667",%^%^%^,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
563,Doctor Zhivago,(1965),197 min,7.9,69        ,"76,588",$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
564,Per un pugno di dollari,(1964),99 min,7.9,65        ,"216,486",$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
565,Charade,(1963),113 min,7.9,83        ,"77,418",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
566,Vivre sa vie: Film en douze tableaux,(1962),80 min,7.9,****,"31,718",%^%^%^,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
567,The Manchurian Candidate,(1962),126 min,7.9,94        ,"75,605",%^%^%^,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
568,Spartacus,(1960),197 min,7.9,87        ,"134,735",$30.00M,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
569,Hiroshima mon amour,(1959),90 min,7.9,****,"32,240",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
570,Cat on a Hot Tin Roof,(1958),108 min,7.9,84        ,"49,586",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
571,Ascenseur pour l'échafaud,(1958),91 min,7.9,94        ,"25,695",$0.11M,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
572,The Ten Commandments,(1956),220 min,7.9,****,"71,040",$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery."
573,The Searchers,(1956),119 min,7.9,94        ,"89,272",%^%^%^,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
574,The Big Heat,(1953),89 min,7.9,****,"26,822",%^%^%^,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
575,A Streetcar Named Desire,(1951),122 min,7.9,97        ,"108,104",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
576,Strangers on a Train,(1951),101 min,7.9,88        ,"133,708",$7.63M,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
577,In a Lonely Place,(1950),94 min,7.9,****,"31,691",%^%^%^,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
578,Harvey,(1950),104 min,7.9,****,"55,706",%^%^%^,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
579,Rope,(1948),80 min,7.9,73        ,"142,959",%^%^%^,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
580,Miracle on 34th Street,(1947),96 min,7.9,88        ,"47,705",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
581,Notorious,(1946),102 min,7.9,100        ,"101,086",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
582,The Big Sleep,(1946),114 min,7.9,86        ,"85,759",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
583,La belle et la bête,(1946),96 min,7.9,92        ,"26,500",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
584,The Lost Weekend,(1945),101 min,7.9,****,"37,255",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
585,Laura,(1944),88 min,7.9,****,"47,482",$4.36M,A police detective falls in love with the woman whose murder he is investigating.
586,Arsenic and Old Lace,(1944),118 min,7.9,****,"70,670",%^%^%^,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
587,Sullivan's Travels,(1941),90 min,7.9,****,"26,393",%^%^%^,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
588,The Philadelphia Story,(1940),112 min,7.9,96        ,"69,285",%^%^%^,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
589,La règle du jeu,(1939),110 min,7.9,****,"29,103",%^%^%^,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
590,The Adventures of Robin Hood,(1938),102 min,7.9,97        ,"51,095",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
591,The Thin Man,(1934),91 min,7.9,86        ,"29,841",%^%^%^,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
592,King Kong,(1933),100 min,7.9,90        ,"85,430",$10.00M,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
593,Nosferatu,(1922),94 min,7.9,****,"96,762",%^%^%^,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
594,The Gentlemen,(2019),113 min,7.8,51        ,"329,850",$36.47M,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
595,Doragon bôru chô: Burorî,(2018),100 min,7.8,59        ,"27,482",$30.71M,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before."
596,Hindi Medium,(2017),132 min,7.8,****,"28,913",%^%^%^,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
597,Call Me by Your Name,(2017),132 min,7.8,93        ,"266,519",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
598,"I, Daniel Blake",(2016),100 min,7.8,78        ,"60,008",$0.26M,"After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance."
599,Isle of Dogs,(2018),101 min,7.8,82        ,"166,957",$32.02M,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
600,Dunkirk,(2017),106 min,7.8,94        ,"646,611",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
601,Hidden Figures,(2016),127 min,7.8,74        ,"227,240",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
602,Hunt for the Wilderpeople,(2016),101 min,7.8,81        ,"130,047",$5.20M,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
603,Paddington 2,(2017),103 min,7.8,88        ,"77,187",$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
604,Manchester by the Sea,(2016),137 min,7.8,96        ,"278,925",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
605,Under sandet,(2015),100 min,7.8,75        ,"41,209",$0.44M,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
606,Rogue One,(2016),133 min,7.8,65        ,"621,523",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
607,Captain Fantastic,(2016),118 min,7.8,72        ,"217,586",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
608,Captain America: Civil War,(2016),147 min,7.8,75        ,"774,094",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
609,The Hateful Eight,(2015),168 min,7.8,68        ,"590,418",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
610,Little Women,(2019),135 min,7.8,91        ,"198,927",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
611,Loving Vincent,(2017),94 min,7.8,62        ,"57,844",$6.74M,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there."
612,Pride,(I) (2014),119 min,7.8,79        ,"57,159",%^%^%^,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
613,Nightcrawler,(2014),117 min,7.8,76        ,"537,536",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
614,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,"922,011",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
615,The Lunchbox,(2013),104 min,7.8,76        ,"56,181",$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
616,Vicky Donor,(2012),126 min,7.8,****,"43,328",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
617,Big Hero 6,(2014),102 min,7.8,74        ,"457,156",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
618,About Time,(I) (2013),123 min,7.8,55        ,"345,104",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
619,English Vinglish,(2012),134 min,7.8,****,"36,510",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
620,La migliore offerta,(2013),131 min,7.8,49        ,"118,854",$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
621,Captain America: The Winter Soldier,(2014),136 min,7.8,70        ,"834,103",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
622,Bir Zamanlar Anadolu'da,(2011),157 min,7.8,82        ,"46,397",$0.14M,A group of men set out in search of a dead body in the Anatolian steppes.
623,Moonrise Kingdom,(2012),94 min,7.8,84        ,"347,934",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
624,How to Train Your Dragon 2,(2014),102 min,7.8,77        ,"333,196",$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
625,The Big Short,(2015),130 min,7.8,81        ,"425,560",$70.26M,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is."
626,Ang-ma-reul bo-at-da,(2010),144 min,7.8,67        ,"129,186",$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.
627,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        ,"460,499",$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
628,Captain Phillips,(2013),134 min,7.8,82        ,"456,924",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
629,Straight Outta Compton,(2015),147 min,7.8,72        ,"200,932",$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
630,The Irishman,(2019),209 min,7.8,94        ,"381,330",$7.00M,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.
631,The Social Network,(2010),120 min,7.8,95        ,"694,684",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business."
632,Un prophète,(2009),155 min,7.8,90        ,"98,533",$2.08M,A young Algerian man is sent to a French prison.
633,Thirteen Lives,(2022),147 min,7.8,66        ,"36,972",%^%^%^,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
634,Madeo,(2009),129 min,7.8,79        ,"63,866",$0.55M,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
635,Chugyeokja,(2008),125 min,7.8,64        ,"66,207",%^%^%^,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
636,Moon,(2009),97 min,7.8,67        ,"357,597",$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
637,The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,66        ,"653,730",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
638,Das weiße Band - Eine deutsche Kindergeschichte,(2009),144 min,7.8,82        ,"73,621",$2.22M,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?"
639,Män som hatar kvinnor,(2009),152 min,7.8,76        ,"216,679",$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
640,Skyfall,(2012),143 min,7.8,81        ,"692,375",$304.36M,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
641,Verdens verste menneske,(2021),128 min,7.8,90        ,"58,329",%^%^%^,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
642,The Fighter,(I) (2010),116 min,7.8,79        ,"365,602",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
643,Taken,(I) (2008),90 min,7.8,51        ,"599,824",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
644,Once,(I) (2007),86 min,7.8,88        ,"116,601",$9.44M,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
645,The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        ,"815,524",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
646,Changeling,(2008),141 min,7.8,63        ,"255,031",$35.74M,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.
647,Atonement,(2007),123 min,7.8,85        ,"276,559",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
648,Drive,(I) (2011),100 min,7.8,78        ,"631,208",$35.06M,"A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver, but finds himself in trouble when he helps out his neighbor."
649,American Gangster,(2007),157 min,7.8,76        ,"424,357",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
650,Avatar,(2009),162 min,7.8,83        ,"1,219,838",$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
651,Mr. Nobody,(2009),141 min,7.8,63        ,"232,440",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
652,Apocalypto,(2006),139 min,7.8,68        ,"311,733",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
653,The Fall,(I) (2006),117 min,7.8,64        ,"112,306",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
654,Little Miss Sunshine,(2006),101 min,7.8,80        ,"477,619",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
655,Hot Fuzz,(2007),121 min,7.8,81        ,"502,297",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
656,The Curious Case of Benjamin Button,(2008),166 min,7.8,70        ,"644,664",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
